[Mon, 18 Apr 2016 02:46:11 EDT] Running ScrapeBookChaptersProcess with Session Name Harry Potter, English, 5 years old, >10 reviews, >2 reviews/chapter, April 17, 2016 - fix 2
[Mon, 18 Apr 2016 02:53:19 EDT] Scraping book: 11815551; Chapters: 1; Wait times: 2586, 
[Mon, 18 Apr 2016 02:53:21 EDT] Scraping book: 11815322; Chapters: 1; Wait times: 1118, 
[Mon, 18 Apr 2016 02:53:24 EDT] Scraping book: 11815141; Chapters: 1; Wait times: 3240, 
[Mon, 18 Apr 2016 02:53:32 EDT] Scraping book: 11814032; Chapters: 2; Wait times: 4654, 1680, 
[Mon, 18 Apr 2016 02:53:35 EDT] Scraping book: 11813646; Chapters: 1; Wait times: 2673, 
[Mon, 18 Apr 2016 02:53:57 EDT] Scraping book: 11812772; Chapters: 7; Wait times: 2123, 3099, 1695, 3264, 2272, 1816, 1877, 
[Mon, 18 Apr 2016 02:54:00 EDT] Scraping book: 11812103; Chapters: 1; Wait times: 2575, 
[Mon, 18 Apr 2016 02:54:03 EDT] Scraping book: 11811498; Chapters: 1; Wait times: 2438, 
[Mon, 18 Apr 2016 02:54:05 EDT] Scraping book: 11810079; Chapters: 1; Wait times: 1885, 
[Mon, 18 Apr 2016 02:54:11 EDT] Scraping book: 11809149; Chapters: 3; Wait times: 2892, 0, 1311, 
[Mon, 18 Apr 2016 02:54:14 EDT] Scraping book: 11808308; Chapters: 1; Wait times: 2265, 
[Mon, 18 Apr 2016 02:54:17 EDT] Scraping book: 11807128; Chapters: 1; Wait times: 2847, 
[Mon, 18 Apr 2016 02:54:20 EDT] Scraping book: 11807037; Chapters: 1; Wait times: 2037, 
[Mon, 18 Apr 2016 02:54:25 EDT] Scraping book: 11805640; Chapters: 1; Wait times: 4473, 
[Mon, 18 Apr 2016 02:54:51 EDT] Scraping book: 11805613; Chapters: 9; Wait times: 2075, 2036, 2467, 2544, 3977, 2488, 2947, 995, 1540, 
[Mon, 18 Apr 2016 02:54:52 EDT] Scraping book: 11805102; Chapters: 1; Wait times: 921, 
[Mon, 18 Apr 2016 02:54:56 EDT] Scraping book: 11804645; Chapters: 1; Wait times: 3627, 
[Mon, 18 Apr 2016 02:54:59 EDT] Scraping book: 11804080; Chapters: 1; Wait times: 2306, 
[Mon, 18 Apr 2016 02:55:02 EDT] Scraping book: 11804034; Chapters: 1; Wait times: 2781, 
[Mon, 18 Apr 2016 02:55:06 EDT] Scraping book: 11804027; Chapters: 1; Wait times: 2651, 
[Mon, 18 Apr 2016 02:55:09 EDT] Scraping book: 11804024; Chapters: 1; Wait times: 3095, 
[Mon, 18 Apr 2016 02:55:12 EDT] Scraping book: 11804016; Chapters: 1; Wait times: 2199, 
[Mon, 18 Apr 2016 02:55:16 EDT] Scraping book: 11803703; Chapters: 1; Wait times: 3452, 
[Mon, 18 Apr 2016 02:55:29 EDT] Scraping book: 11803194; Chapters: 5; Wait times: 3523, 2939, 1608, 1845, 818, 
[Mon, 18 Apr 2016 02:55:33 EDT] Scraping book: 11803137; Chapters: 1; Wait times: 3315, 
[Mon, 18 Apr 2016 02:55:36 EDT] Scraping book: 11802840; Chapters: 1; Wait times: 2969, 
[Mon, 18 Apr 2016 02:55:46 EDT] Scraping book: 11802041; Chapters: 3; Wait times: 3333, 2332, 2608, 
[Mon, 18 Apr 2016 02:55:48 EDT] Scraping book: 11801592; Chapters: 1; Wait times: 1562, 
[Mon, 18 Apr 2016 02:56:08 EDT] Scraping book: 11801200; Chapters: 6; Wait times: 2393, 3867, 3134, 3703, 2170, 1604, 
